               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.032119,            0.011159,            0.029553,             0.63133,                0.95,             0.71894,             0.35172,            0.026658,           0.0066416,             0.02046,           0.0079804,           0.0079804,           0.0079804
                 104,            0.041289,             0.01089,            0.028044,             0.63133,                0.95,             0.71894,             0.35172,            0.026658,           0.0066416,             0.02046,           0.0079606,           0.0079606,           0.0079606
                 105,             0.04064,           0.0088093,             0.02914,             0.57221,                0.95,             0.72057,             0.27653,            0.025223,           0.0068262,            0.020019,           0.0079408,           0.0079408,           0.0079408
                 106,            0.032935,            0.011222,             0.02692,             0.57221,                0.95,             0.72057,             0.27653,            0.025223,           0.0068262,            0.020019,            0.007921,            0.007921,            0.007921
                 107,            0.040965,            0.014083,            0.026866,             0.50367,             0.81646,             0.69719,             0.58369,            0.026345,           0.0069306,            0.020006,           0.0079012,           0.0079012,           0.0079012
                 108,            0.048526,            0.012326,            0.028126,             0.50367,             0.81646,             0.69719,             0.58369,            0.026345,           0.0069306,            0.020006,           0.0078814,           0.0078814,           0.0078814
                 109,            0.047278,            0.011647,            0.027602,             0.57775,             0.84905,             0.70748,             0.31179,            0.022567,           0.0062807,            0.019753,           0.0078616,           0.0078616,           0.0078616
                 110,            0.026222,           0.0090689,            0.023095,             0.57775,             0.84905,             0.70748,             0.31179,            0.022567,           0.0062807,            0.019753,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027638,           0.0086702,            0.022298,             0.55343,             0.91544,             0.72691,             0.52392,              0.0211,           0.0061549,            0.019585,            0.007822,            0.007822,            0.007822
                 112,            0.034742,             0.01138,            0.025814,             0.55343,             0.91544,             0.72691,             0.52392,              0.0211,           0.0061549,            0.019585,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035416,           0.0095231,            0.027204,              0.4002,                0.85,             0.70624,             0.46744,            0.026976,           0.0058836,            0.019397,           0.0077824,           0.0077824,           0.0077824
                 114,            0.042102,            0.011869,            0.025436,              0.4002,                0.85,             0.70624,             0.46744,            0.026976,           0.0058836,            0.019397,           0.0077626,           0.0077626,           0.0077626
                 115,            0.041074,            0.012116,            0.027966,             0.58583,                 0.9,             0.73912,             0.29114,             0.02495,           0.0058639,            0.019371,           0.0077428,           0.0077428,           0.0077428
                 116,            0.035525,           0.0096228,            0.027283,             0.58583,                 0.9,             0.73912,             0.29114,             0.02495,           0.0058639,            0.019371,            0.007723,            0.007723,            0.007723
                 117,            0.036223,           0.0084544,            0.021351,             0.62951,                   1,             0.76518,              0.4216,            0.021108,           0.0058516,            0.019254,           0.0077032,           0.0077032,           0.0077032
                 118,            0.034187,            0.012449,            0.027455,             0.62951,                   1,             0.76518,              0.4216,            0.021108,           0.0058516,            0.019254,           0.0076834,           0.0076834,           0.0076834
                 119,            0.029759,            0.010332,             0.02657,             0.67704,             0.82052,             0.74773,             0.56888,            0.019946,           0.0059173,            0.019293,           0.0076636,           0.0076636,           0.0076636
                 120,            0.031984,            0.011142,            0.024105,             0.67704,             0.82052,             0.74773,             0.56888,            0.019946,           0.0059173,            0.019293,           0.0076438,           0.0076438,           0.0076438
                 121,            0.032469,            0.011311,            0.025714,             0.70259,                   1,             0.83208,             0.54708,            0.022404,           0.0058677,            0.019066,            0.007624,            0.007624,            0.007624
                 122,            0.034665,           0.0077047,            0.023969,             0.70259,                   1,             0.83208,             0.54708,            0.022404,           0.0058677,            0.019066,           0.0076042,           0.0076042,           0.0076042
                 123,            0.036937,            0.012574,            0.026405,             0.60214,                0.75,             0.79225,             0.58949,            0.021323,            0.005672,             0.01902,           0.0075844,           0.0075844,           0.0075844
                 124,            0.036952,            0.014725,            0.022749,             0.60214,                0.75,             0.79225,             0.58949,            0.021323,            0.005672,             0.01902,           0.0075646,           0.0075646,           0.0075646
                 125,            0.032574,           0.0076243,            0.026856,             0.77238,             0.97012,             0.94019,             0.62033,            0.019526,           0.0055983,            0.018768,           0.0075448,           0.0075448,           0.0075448
